section,index,sinhala_word,main_vowel_char,main_vowel_name
ක්‍රියාකාරකම-01,01,පස්,අ,a
ක්‍රියාකාරකම-01,01,පුස්,උ,u
ක්‍රියාකාරකම-01,02,හත,අ,a
ක්‍රියාකාරකම-01,02,හිත,ඉ,i
ක්‍රියාකාරකම-01,03,බල්ලා,අ,a
ක්‍රියාකාරකම-01,03,බිල්ලා,ඉ,i
ක්‍රියාකාරකම-01,04,බය,අ,a
ක්‍රියාකාරකම-01,04,බිය,ඉ,i
ක්‍රියාකාරකම-01,05,පනා,අ,a
ක්‍රියාකාරකම-01,05,පිනා,ඉ,i
ක්‍රියාකාරකම-01,06,ටින්,ඉ,i
ක්‍රියාකාරකම-01,06,ටොන්,ඔ,o
ක්‍රියාකාරකම-01,07,පිල්,ඉ,i
ක්‍රියාකාරකම-01,07,පොල්,ඔ,o
ක්‍රියාකාරකම-01,08,කජු,අ,a
ක්‍රියාකාරකම-01,08,කේජු,ඒ,ee
ක්‍රියාකාරකම-01,09,පිත්ත,ඉ,i
ක්‍රියාකාරකම-01,09,පොත්ත,ඔ,o
ක්‍රියාකාරකම-01,10,බිදිති,ඉ,i
ක්‍රියාකාරකම-01,10,බුදිති,උ,u
ක්‍රියාකාරකම-01,11,කෝල්,ඕ,oo
ක්‍රියාකාරකම-01,11,කූල්,ඌ,uu
ක්‍රියාකාරකම-01,12,බොල්,ඔ,o
ක්‍රියාකාරකම-01,12,බූල්,ඌ,uu
ක්‍රියාකාරකම-01,13,බිම,ඉ,i
ක්‍රියාකාරකම-01,13,බීම,ඊ,ii
ක්‍රියාකාරකම-01,14,ෆෝන්,ඕ,oo
ක්‍රියාකාරකම-01,14,ෆන්,අ,a
ක්‍රියාකාරකම-01,15,පීරන,ඊ,ii
ක්‍රියාකාරකම-01,15,පරන,අ,a
ක්‍රියාකාරකම-02,01,තීරුව,ඊ,ii
ක්‍රියාකාරකම-02,01,තරුව,අ,a
ක්‍රියාකාරකම-02,02,සීනුව,ඊ,ii
ක්‍රියාකාරකම-02,02,සානුව,ආ,aa
ක්‍රියාකාරකම-02,03,දීපය,ඊ,ii
ක්‍රියාකාරකම-02,03,දුපය,උ,u
ක්‍රියාකාරකම-02,04,බෝලය,ඕ,oo
ක්‍රියාකාරකම-02,04,බලය,අ,a
ක්‍රියාකාරකම-02,05,ලීය,ඊ,ii
ක්‍රියාකාරකම-02,05,ලය,අ,a
ක්‍රියාකාරකම-02,06,කාලය,ආ,aa
ක්‍රියාකාරකම-02,06,කෝලය,ඕ,oo
