section,index,sinhala_word,singlish_word,main_vowel_char,main_vowel_name,audio_path
ක්‍රියාකාරකම-01,01,පස්,Pas,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/01_පස්_ps.mp3
ක්‍රියාකාරකම-01,01,පුස්,Pus,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-01/01_පුස්_pus.mp3
ක්‍රියාකාරකම-01,02,හත,Hata,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/02_හත_ht.mp3
ක්‍රියාකාරකම-01,02,හිත,Hita,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/02_හිත_hit.mp3
ක්‍රියාකාරකම-01,03,බල්ලා,Ballaa,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/03_බල්ලා_bllaa.mp3
ක්‍රියාකාරකම-01,03,බිල්ලා,Billaa,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/03_බිල්ලා_billaa.mp3
ක්‍රියාකාරකම-01,04,බය,Baya,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/04_බය_by.mp3
ක්‍රියාකාරකම-01,04,බිය,Biya,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/04_බිය_biy.mp3
ක්‍රියාකාරකම-01,05,පනා,Panaa,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/05_පනා_pnaa.mp3
ක්‍රියාකාරකම-01,05,පිනා,Pinaa,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/05_පිනා_pinaa.mp3
ක්‍රියාකාරකම-01,06,ටින්,Tin,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/06_ටින්_ttin.mp3
ක්‍රියාකාරකම-01,06,ටොන්,Ton,ඔ,o,swara_audio_cloud/ක්‍රියාකාරකම-01/06_ටොන්_tton.mp3
ක්‍රියාකාරකම-01,07,පිල්,Pil,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/07_පිල්_pil.mp3
ක්‍රියාකාරකම-01,07,පොල්,Pol,ඔ,o,swara_audio_cloud/ක්‍රියාකාරකම-01/07_පොල්_pol.mp3
ක්‍රියාකාරකම-01,08,කජු,Kaju,අ,a,swara_audio_cloud/ක්‍රියාකාරකම-01/08_කජු_kju.mp3
ක්‍රියාකාරකම-01,08,කේජු,Keeju,ඒ,ee,swara_audio_cloud/ක්‍රියාකාරකම-01/08_කේජු_keeju.mp3
ක්‍රියාකාරකම-01,09,පිත්ත,Pitta,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/09_පිත්ත_pitt.mp3
ක්‍රියාකාරකම-01,09,පොත්ත,Potta,ඔ,o,swara_audio_cloud/ක්‍රියාකාරකම-01/09_පොත්ත_pott.mp3
ක්‍රියාකාරකම-01,10,බිදිති,Biditi,ඉ,i,swara_audio_cloud/ක්‍රියාකාරකම-01/10_බිදිති_biditi.mp3
ක්‍රියාකාරකම-01,10,බුදිති,Buditi,උ,u,swara_audio_cloud/ක්‍රියාකාරකම-01/10_බුදිති_buditi.mp3
ක්‍රියාකාරකම-01,11,කෝල්,Kool,ඕ,oo,swara_audio_cloud/ක්‍රියාකාරකම-01/11_කෝල්_kool.mp3
ක්‍රියාකාරකම-01,11,කූල්,Kuul,ඌ,uu,swara_audio_cloud/ක්‍රියාකාරකම-01/11_කූල්_kuul.mp3
