section,index,sinhala_word,singlish_word,changing_consonant_character,changing_consonant_name,audio_path,audio_url
ක්‍රියාකාරකම-01,01,පස්,Pas,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/01_පස්_ps.mp3,
ක්‍රියාකාරකම-01,01,බස්,Bas,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/01_බස්_bs.mp3,
ක්‍රියාකාරකම-01,02,පොල්,Pol,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/02_පොල්_pol.mp3,
ක්‍රියාකාරකම-01,02,බොල්,Bol,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/02_බොල්_bol.mp3,
ක්‍රියාකාරකම-01,03,පිල,Pila,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/03_පිල_pil.mp3,
ක්‍රියාකාරකම-01,03,බිල,Bila,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/03_බිල_bil.mp3,
ක්‍රියාකාරකම-01,04,පය,Paya,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/04_පය_py.mp3,
ක්‍රියාකාරකම-01,04,බය,Baya,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/04_බය_by.mp3,
ක්‍රියාකාරකම-01,05,පත්,Pat,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/05_පත්_pt.mp3,
ක්‍රියාකාරකම-01,05,බත්,Bat,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/05_බත්_bt.mp3,
ක්‍රියාකාරකම-01,06,ටයි,Tayi,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/06_ටයි_ttyi.mp3,
ක්‍රියාකාරකම-01,06,ඩයි,Dayi,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/06_ඩයි_ddyi.mp3,
ක්‍රියාකාරකම-01,07,කල,Kala,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/07_කල_kl.mp3,
ක්‍රියාකාරකම-01,07,ගල,Gala,ග,g,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/07_ගල_gl.mp3,
ක්‍රියාකාරකම-01,08,කැල,Kaැla,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/08_කැල_kael.mp3,
ක්‍රියාකාරකම-01,08,ගැල,Gaැla,ග,g,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/08_ගැල_gael.mp3,
ක්‍රියාකාරකම-01,09,කස,Kasa,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/09_කස_ks.mp3,
ක්‍රියාකාරකම-01,09,ගස,Gasa,ග,g,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/09_ගස_gs.mp3,
ක්‍රියාකාරකම-01,10,කලන,Kalana,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/10_කලන_kln.mp3,
ක්‍රියාකාරකම-01,10,ගලන,Galana,ග,g,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/10_ගලන_gln.mp3,
ක්‍රියාකාරකම-01,11,කර,Kara,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/11_කර_kr.mp3,
ක්‍රියාකාරකම-01,11,දර,Dara,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/11_දර_dr.mp3,
ක්‍රියාකාරකම-01,12,කත්,Kat,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/12_කත්_kt.mp3,
ක්‍රියාකාරකම-01,12,දත්,Dat,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/12_දත්_dt.mp3,
ක්‍රියාකාරකම-01,13,කල,Kala,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/13_කල_kl.mp3,
ක්‍රියාකාරකම-01,13,දල,Dala,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/13_දල_dl.mp3,
ක්‍රියාකාරකම-01,14,ෆෑන්,Faෑn,ෆ,f,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/14_ෆෑන්_faaen.mp3,
ක්‍රියාකාරකම-01,14,වෑන්,Vaෑn,ව,v,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/14_වෑන්_vaaen.mp3,
ක්‍රියාකාරකම-01,15,ෆේල්,Feel,ෆ,f,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/15_ෆේල්_feel.mp3,
ක්‍රියාකාරකම-01,15,වේල්,Veel,ව,v,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-01/15_වේල්_veel.mp3,
ක්‍රියාකාරකම-02,01,කප,Kapa,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/01_කප_kp.mp3,
ක්‍රියාකාරකම-02,01,කබ,Kaba,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/01_කබ_kb.mp3,
ක්‍රියාකාරකම-02,02,අප,Apa,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/02_අප_ap.mp3,
ක්‍රියාකාරකම-02,02,අබ,Aba,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/02_අබ_ab.mp3,
ක්‍රියාකාරකම-02,03,ඔප,Opa,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/03_ඔප_op.mp3,
ක්‍රියාකාරකම-02,03,ඔබ,Oba,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/03_ඔබ_ob.mp3,
ක්‍රියාකාරකම-02,04,ඇප,Aepa,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/04_ඇප_aep.mp3,
ක්‍රියාකාරකම-02,04,ඇබ,Aeba,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/04_ඇබ_aeb.mp3,
ක්‍රියාකාරකම-02,05,වැට,Vaැta,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/05_වැට_vaett.mp3,
ක්‍රියාකාරකම-02,05,වැඩ,Vaැda,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/05_වැඩ_vaedd.mp3,
ක්‍රියාකාරකම-02,06,කට,Kata,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/06_කට_ktt.mp3,
ක්‍රියාකාරකම-02,06,කඩ,Kada,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/06_කඩ_kdd.mp3,
ක්‍රියාකාරකම-02,07,අට,Ata,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/07_අට_att.mp3,
ක්‍රියාකාරකම-02,07,අඩ,Ada,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/07_අඩ_add.mp3,
ක්‍රියාකාරකම-02,08,හොට,Hota,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/08_හොට_hott.mp3,
ක්‍රියාකාරකම-02,08,හොඞ,Hoඞ,,,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/08_හොඞ_hong.mp3,
ක්‍රියාකාරකම-02,09,කෝටු,Kootu,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/09_කෝටු_koottu.mp3,
ක්‍රියාකාරකම-02,09,කෝඩු,Koodu,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/09_කෝඩු_kooddu.mp3,
ක්‍රියාකාරකම-02,10,අත,Ata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/10_අත_at.mp3,
ක්‍රියාකාරකම-02,10,අද,Ada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/10_අද_ad.mp3,
ක්‍රියාකාරකම-02,11,කත,Kata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/11_කත_kt.mp3,
ක්‍රියාකාරකම-02,11,කද,Kada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/11_කද_kd.mp3,
ක්‍රියාකාරකම-02,12,මහත,Mahata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/12_මහත_mht.mp3,
ක්‍රියාකාරකම-02,12,මහද,Mahada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/12_මහද_mhd.mp3,
ක්‍රියාකාරකම-02,13,වත,Vata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/13_වත_vt.mp3,
ක්‍රියාකාරකම-02,13,වද,Vada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/13_වද_vd.mp3,
ක්‍රියාකාරකම-02,14,පත,Pata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/14_පත_pt.mp3,
ක්‍රියාකාරකම-02,14,පද,Pada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/14_පද_pd.mp3,
ක්‍රියාකාරකම-02,15,හත,Hata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/15_හත_ht.mp3,
ක්‍රියාකාරකම-02,15,හද,Hada,ද,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-02/15_හද_hd.mp3,
ක්‍රියාකාරකම-03,01,රන්,Ran,න,n,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/01_රන්_rn.mp3,
ක්‍රියාකාරකම-03,01,රම්,Ram,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/01_රම්_rm.mp3,
ක්‍රියාකාරකම-03,02,කත්,Kat,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/02_කත්_kt.mp3,
ක්‍රියාකාරකම-03,02,කන්,Kan,න,n,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/02_කන්_kn.mp3,
ක්‍රියාකාරකම-03,03,මත්,Mat,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/03_මත්_mt.mp3,
ක්‍රියාකාරකම-03,03,මල්,Mal,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/03_මල්_ml.mp3,
ක්‍රියාකාරකම-03,04,පිත්,Pit,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/04_පිත්_pit.mp3,
ක්‍රියාකාරකම-03,04,පිල්,Pil,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/04_පිල්_pil.mp3,
ක්‍රියාකාරකම-03,05,බස්,Bas,ස,s,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/05_බස්_bs.mp3,
ක්‍රියාකාරකම-03,05,බත්,Bat,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/05_බත්_bt.mp3,
ක්‍රියාකාරකම-03,06,සිල්,Sil,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/06_සිල්_sil.mp3,
ක්‍රියාකාරකම-03,06,සිත්,Sit,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/06_සිත්_sit.mp3,
ක්‍රියාකාරකම-03,07,ලොම්,Lom,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/07_ලොම්_lom.mp3,
ක්‍රියාකාරකම-03,07,ලොක්,Lok,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/07_ලොක්_lok.mp3,
ක්‍රියාකාරකම-03,08,කොත්,Kot,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/08_කොත්_kot.mp3,
ක්‍රියාකාරකම-03,08,කොස්,Kos,ස,s,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/08_කොස්_kos.mp3,
ක්‍රියාකාරකම-03,09,කාර්,Kaar,ර,r,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/09_කාර්_kaar.mp3,
ක්‍රියාකාරකම-03,09,කාඩ්,Kaad,ඩ,d,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/09_කාඩ්_kaadd.mp3,
ක්‍රියාකාරකම-03,10,හාල්,Haal,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/10_හාල්_haal.mp3,
ක්‍රියාකාරකම-03,10,හාට්,Haat,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-03/10_හාට්_haatt.mp3,
ක්‍රියාකාරකම-04,01,පිහි,Pihi,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/01_පිහි_pihi.mp3,
ක්‍රියාකාරකම-04,01,මිහි,Mihi,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/01_මිහි_mihi.mp3,
ක්‍රියාකාරකම-04,02,පොරි,Pori,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/02_පොරි_pori.mp3,
ක්‍රියාකාරකම-04,02,ලොරි,Lori,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/02_ලොරි_lori.mp3,
ක්‍රියාකාරකම-04,03,එයි,Eyi,,,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/03_එයි_eyi.mp3,
ක්‍රියාකාරකම-04,03,යයි,Yayi,ය,y,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/03_යයි_yyi.mp3,
ක්‍රියාකාරකම-04,04,පොල්,Pol,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/04_පොල්_pol.mp3,
ක්‍රියාකාරකම-04,04,තොල්,Tol,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/04_තොල්_tol.mp3,
ක්‍රියාකාරකම-04,05,පිටි,Piti,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/05_පිටි_pitti.mp3,
ක්‍රියාකාරකම-04,05,මිටි,Miti,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/05_මිටි_mitti.mp3,
ක්‍රියාකාරකම-04,06,බැල,Baැla,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/06_බැල_bael.mp3,
ක්‍රියාකාරකම-04,06,බැත,Baැta,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/06_බැත_baet.mp3,
ක්‍රියාකාරකම-04,07,සීත,Siita,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/07_සීත_siit.mp3,
ක්‍රියාකාරකම-04,07,සීල,Siila,ල,l,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/07_සීල_siil.mp3,
ක්‍රියාකාරකම-04,08,පෑන්,Paෑn,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/08_පෑන්_paaen.mp3,
ක්‍රියාකාරකම-04,08,කැන්,Kaැn,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/08_කැන්_kaen.mp3,
ක්‍රියාකාරකම-04,09,බීට්,Biit,ට,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/09_බීට්_biitt.mp3,
ක්‍රියාකාරකම-04,09,බීම,Biima,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/09_බීම_biim.mp3,
ක්‍රියාකාරකම-04,10,පස්,Pas,ස,s,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/10_පස්_ps.mp3,
ක්‍රියාකාරකම-04,10,පත්,Pat,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-04/10_පත්_pt.mp3,
ක්‍රියාකාරකම-05,01,පච,Pacha,ප,p,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/01_පච_pc.mp3,
ක්‍රියාකාරකම-05,01,කච,Kacha,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/01_කච_kc.mp3,
ක්‍රියාකාරකම-05,02,හම්,Ham,හ,h,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/02_හම්_hm.mp3,
ක්‍රියාකාරකම-05,02,සම්,Sam,ස,s,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/02_සම්_sm.mp3,
ක්‍රියාකාරකම-05,03,බෝල,Boola,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/03_බෝල_bool.mp3,
ක්‍රියාකාරකම-05,03,කෝල,Koola,ක,k,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/03_කෝල_kool.mp3,
ක්‍රියාකාරකම-05,04,මාල,Maala,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/04_මාල_maal.mp3,
ක්‍රියාකාරකම-05,04,බාල,Baala,බ,b,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/04_බාල_baal.mp3,
ක්‍රියාකාරකම-05,05,මේ,Mee,ම,m,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/05_මේ_mee.mp3,
ක්‍රියාකාරකම-05,05,තේ,Tee,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/05_තේ_tee.mp3,
ක්‍රියාකාරකම-05,06,හත,Hata,ත,t,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/06_හත_ht.mp3,
ක්‍රියාකාරකම-05,06,හය,Haya,ය,y,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/06_හය_hy.mp3,
ක්‍රියාකාරකම-05,07,මස්,Mas,ස,s,hearing_project_v0.01/wiyanjana_audio_cloud/ක්‍රියාකාරකම-05/07_මස්_ms.mp3,
